,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude,origin_descripcion,origin_temperatura,origin_minima,origin_maxima,origin_sensacion_termica,origin_nubes,destination_descripcion,destination_temperatura,destination_minima,destination_maxima,destination_sensacion_termica,destination_nubes
0,TLC,MTY,19.3371,-99.566,25.7785,-100.107,muy nuboso,22.0,20.03,22.0,21.12,75,cielo claro,28.77,27.48,29.0,27.38,0
1,MTY,TLC,25.7785,-100.107,19.3371,-99.566,cielo claro,28.77,27.48,29.0,27.38,0,muy nuboso,22.0,20.03,22.0,21.12,75
2,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
3,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
4,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
5,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
6,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
7,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
8,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
9,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
10,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
11,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
12,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
13,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
14,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
15,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
16,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
17,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
18,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
19,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
20,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
21,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
22,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
23,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
24,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
25,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
26,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
27,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
28,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
29,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
30,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
31,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
32,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
